Stop_ID,Binned_time,Binned_day,Pre_2019,Validation_Count_mean,Unvalidated_mean,NIMI,Visiting_score,Rel_Visiting_score,density,n_rows
7800528-1,2018-08-14 16:00:00,1,True,,0.0,Ihaste,1,0.03125,0,1
7800565-1,2018-09-12 13:00:00,2,True,,0.0,Raadi-Kruusamäe,1,0.03125,3,1
7800565-1,2018-09-12 17:00:00,2,True,,1.0,Raadi-Kruusamäe,1,0.03125,3,1
7801229-1,2016-09-02 16:00:00,4,True,,0.0,Raadi-Kruusamäe,1,0.03125,1,1
7820002-1,2016-03-16 11:00:00,2,True,1.6,0.0,Ropka,6,0.1875,3,10
7820002-1,2016-03-16 12:00:00,2,True,2.25,1.3333333333333333,Ropka,6,0.1875,3,12
7820002-1,2016-03-23 12:00:00,2,True,3.0,0.6666666666666666,Ropka,6,0.1875,3,9
7820002-1,2016-03-23 13:00:00,2,True,1.3333333333333333,0.0,Ropka,6,0.1875,3,3
7820002-1,2016-04-08 13:00:00,4,True,1.8333333333333333,1.3333333333333333,Ropka,6,0.1875,3,18
7820002-1,2016-04-18 19:00:00,0,True,1.0,0.3333333333333333,Ropka,6,0.1875,3,3
7820002-1,2016-04-18 20:00:00,0,True,1.5,0.0,Ropka,6,0.1875,3,4
7820002-1,2016-04-28 09:00:00,3,True,1.4,0.5,Ropka,6,0.1875,3,10
7820002-1,2016-05-17 15:00:00,1,True,1.6,0.0,Ropka,6,0.1875,3,5
7820002-1,2016-05-27 10:00:00,4,True,1.6666666666666667,3.0,Ropka,6,0.1875,3,3
7820002-1,2016-05-27 11:00:00,4,True,2.0,0.3333333333333333,Ropka,6,0.1875,3,6
7820002-1,2016-05-30 08:00:00,0,True,1.2,2.0,Ropka,6,0.1875,3,5
7820002-1,2016-06-02 10:00:00,3,True,1.0,1.0,Ropka,6,0.1875,3,2
7820002-1,2016-06-04 14:00:00,5,True,1.0,0.5,Ropka,6,0.1875,3,4
7820002-1,2016-06-04 19:00:00,5,True,2.0,5.0,Ropka,6,0.1875,3,2
7820002-1,2016-06-08 13:00:00,2,True,1.5,0.0,Ropka,6,0.1875,3,2
7820002-1,2016-06-17 14:00:00,4,True,1.3333333333333333,0.0,Ropka,6,0.1875,3,3
7820002-1,2016-06-30 13:00:00,3,True,1.0,0.5,Ropka,6,0.1875,3,4
7820002-1,2016-07-18 19:00:00,0,True,1.0,1.0,Ropka,6,0.1875,3,2
7820002-1,2016-08-02 10:00:00,1,True,,0.0,Ropka,6,0.1875,3,1
7820002-1,2016-08-02 11:00:00,1,True,1.5,1.6,Ropka,6,0.1875,3,20
7820002-1,2016-08-02 12:00:00,1,True,2.0,0.5,Ropka,6,0.1875,3,6
7820002-1,2016-08-04 08:00:00,3,True,1.0,0.0,Ropka,6,0.1875,3,12
7820002-1,2016-08-17 13:00:00,2,True,2.6666666666666665,0.0,Ropka,6,0.1875,3,3
7820002-1,2016-09-08 10:00:00,3,True,1.0,1.0,Ropka,6,0.1875,3,8
7820002-1,2016-09-16 15:00:00,4,True,2.0,0.0,Ropka,6,0.1875,3,4
7820002-1,2016-09-22 09:00:00,3,True,1.2,0.6666666666666666,Ropka,6,0.1875,3,15
7820002-1,2016-10-12 12:00:00,2,True,1.25,2.0,Ropka,6,0.1875,3,4
7820002-1,2016-10-12 13:00:00,2,True,1.25,0.0,Ropka,6,0.1875,3,4
7820002-1,2016-11-10 10:00:00,3,True,1.3333333333333333,0.3333333333333333,Ropka,6,0.1875,3,9
7820002-1,2016-11-10 11:00:00,3,True,2.0,0.0,Ropka,6,0.1875,3,6
7820002-1,2016-11-17 11:00:00,3,True,2.5,0.0,Ropka,6,0.1875,3,4
7820002-1,2016-11-17 12:00:00,3,True,2.5,3.0,Ropka,6,0.1875,3,2
7820002-1,2016-11-17 13:00:00,3,True,2.6,1.0,Ropka,6,0.1875,3,15
7820002-1,2016-11-17 16:00:00,3,True,2.4,1.2,Ropka,6,0.1875,3,25
7820002-1,2016-11-17 17:00:00,3,True,2.5,0.5,Ropka,6,0.1875,3,8
7820002-1,2016-11-17 18:00:00,3,True,1.2,0.75,Ropka,6,0.1875,3,20
7820002-1,2016-11-18 09:00:00,4,True,1.75,0.42857142857142855,Ropka,6,0.1875,3,28
7820002-1,2016-11-18 14:00:00,4,True,1.2857142857142858,0.5,Ropka,6,0.1875,3,28
7820002-1,2016-11-18 15:00:00,4,True,1.75,3.0,Ropka,6,0.1875,3,4
7820002-1,2016-11-25 14:00:00,4,True,1.5,0.5,Ropka,6,0.1875,3,32
7820002-1,2016-11-29 10:00:00,1,True,2.0,0.0,Ropka,6,0.1875,3,10
7820002-1,2016-11-29 11:00:00,1,True,1.5,0.0,Ropka,6,0.1875,3,2
7820002-1,2016-12-01 11:00:00,3,True,3.0,0.2,Ropka,6,0.1875,3,10
7820002-1,2016-12-15 14:00:00,3,True,2.0,0.0,Ropka,6,0.1875,3,12
7820002-1,2016-12-15 15:00:00,3,True,1.6666666666666667,1.0,Ropka,6,0.1875,3,24
7820002-1,2016-12-16 09:00:00,4,True,1.0,1.0,Ropka,6,0.1875,3,2
7820002-1,2016-12-16 10:00:00,4,True,1.5,0.0,Ropka,6,0.1875,3,8
7820002-1,2016-12-28 15:00:00,2,True,2.2,1.0,Ropka,6,0.1875,3,10
7820002-1,2016-12-28 16:00:00,2,True,1.25,0.0,Ropka,6,0.1875,3,4
7820002-1,2017-01-09 14:00:00,0,True,1.75,0.3333333333333333,Ropka,6,0.1875,3,12
7820002-1,2017-01-09 15:00:00,0,True,1.6666666666666667,1.1666666666666667,Ropka,6,0.1875,3,36
7820002-1,2017-01-16 16:00:00,0,True,1.375,2.0,Ropka,6,0.1875,3,16
7820002-1,2017-01-16 17:00:00,0,True,1.75,1.0,Ropka,6,0.1875,3,4
7820002-1,2017-01-17 10:00:00,1,True,1.0,0.0,Ropka,6,0.1875,3,4
7820002-1,2017-01-17 17:00:00,1,True,2.2,2.0,Ropka,6,0.1875,3,10
7820002-1,2017-01-17 18:00:00,1,True,2.142857142857143,1.5,Ropka,6,0.1875,3,14
7820002-1,2017-01-18 14:00:00,2,True,2.2,1.0,Ropka,6,0.1875,3,5
7820002-1,2017-01-18 15:00:00,2,True,1.75,1.0,Ropka,6,0.1875,3,4
7820002-1,2017-02-21 18:00:00,1,True,1.6666666666666667,1.6666666666666667,Ropka,6,0.1875,3,9
7820002-1,2017-02-21 19:00:00,1,True,1.0,0.0,Ropka,6,0.1875,3,2
7820002-1,2017-02-22 09:00:00,2,True,1.25,0.0,Ropka,6,0.1875,3,16
7820002-1,2017-02-22 10:00:00,2,True,1.25,1.0,Ropka,6,0.1875,3,12
7820002-1,2017-03-01 11:00:00,2,True,1.3333333333333333,0.0,Ropka,6,0.1875,3,3
7820002-1,2017-03-01 12:00:00,2,True,2.0,0.8,Ropka,6,0.1875,3,20
7820002-1,2017-03-01 13:00:00,2,True,1.0,1.0,Ropka,6,0.1875,3,3
7820002-1,2017-03-23 09:00:00,3,True,1.0,0.0,Ropka,6,0.1875,3,6
7820002-1,2017-07-20 12:00:00,3,True,2.0,0.0,Ropka,6,0.1875,3,3
7820002-1,2017-07-30 16:00:00,6,True,1.0,0.0,Ropka,6,0.1875,3,3
7820002-1,2017-08-02 18:00:00,2,True,1.0,0.0,Ropka,6,0.1875,3,6
7820002-1,2017-08-03 14:00:00,3,True,3.0,0.0,Ropka,6,0.1875,3,2
7820002-1,2017-08-03 15:00:00,3,True,1.5,1.0,Ropka,6,0.1875,3,2
7820002-1,2017-08-15 12:00:00,1,True,1.6666666666666667,0.4,Ropka,6,0.1875,3,15
7820002-1,2017-08-23 09:00:00,2,True,1.5,1.0,Ropka,6,0.1875,3,2
7820002-1,2017-08-28 13:00:00,0,True,1.0,0.2,Ropka,6,0.1875,3,5
7820002-1,2017-08-31 09:00:00,3,True,1.0,1.0,Ropka,6,0.1875,3,4
