Stop_ID,Binned_time,Binned_day,Pre_2019,Validation_Count_mean,Unvalidated_mean,NIMI,Visiting_score,Rel_Visiting_score,density,n_rows
7800528-1,2018-08-14 15:30:00,0,True,,0.0,Ihaste,1,0.03125,0,1
7800565-1,2018-09-12 13:30:00,0,True,,0.0,Raadi-Kruusamäe,1,0.03125,3,1
7800565-1,2018-09-12 17:30:00,0,True,,1.0,Raadi-Kruusamäe,1,0.03125,3,1
7801229-1,2016-09-02 16:00:00,0,True,,0.0,Raadi-Kruusamäe,1,0.03125,1,1
7820002-1,2016-03-16 11:00:00,0,True,1.6666666666666667,0.0,Ropka,6,0.1875,3,6
7820002-1,2016-03-16 12:00:00,0,True,2.6666666666666665,1.0,Ropka,6,0.1875,3,6
7820002-1,2016-03-16 12:30:00,0,True,1.0,2.0,Ropka,6,0.1875,3,2
7820002-1,2016-03-23 12:00:00,0,True,3.5,1.0,Ropka,6,0.1875,3,4
7820002-1,2016-03-23 12:30:00,0,True,2.0,0.0,Ropka,6,0.1875,3,2
7820002-1,2016-04-08 12:30:00,0,True,2.0,0.0,Ropka,6,0.1875,3,1
7820002-1,2016-04-08 13:00:00,0,True,1.6,2.0,Ropka,6,0.1875,3,10
7820002-1,2016-04-18 19:00:00,0,True,1.0,0.0,Ropka,6,0.1875,3,1
7820002-1,2016-04-18 19:30:00,0,True,,0.25,Ropka,6,0.1875,3,4
7820002-1,2016-04-28 09:00:00,0,True,1.5,0.5,Ropka,6,0.1875,3,8
7820002-1,2016-05-17 15:00:00,0,True,1.75,0.0,Ropka,6,0.1875,3,4
7820002-1,2016-05-27 10:30:00,0,True,2.0,3.0,Ropka,6,0.1875,3,1
7820002-1,2016-05-27 11:00:00,0,True,2.0,0.3333333333333333,Ropka,6,0.1875,3,6
7820002-1,2016-05-30 08:30:00,0,True,1.5,2.0,Ropka,6,0.1875,3,2
7820002-1,2016-06-02 10:00:00,0,True,,1.0,Ropka,6,0.1875,3,1
7820002-1,2016-06-04 14:30:00,1,True,1.0,0.5,Ropka,6,0.1875,3,4
7820002-1,2016-06-04 19:30:00,1,True,1.5,5.0,Ropka,6,0.1875,3,2
7820002-1,2016-06-08 13:00:00,0,True,2.0,0.0,Ropka,6,0.1875,3,1
7820002-1,2016-06-17 14:00:00,0,True,1.5,0.0,Ropka,6,0.1875,3,2
7820002-1,2016-06-30 13:00:00,0,True,1.0,0.5,Ropka,6,0.1875,3,2
7820002-1,2016-07-18 19:30:00,0,True,1.5,1.0,Ropka,6,0.1875,3,2
7820002-1,2016-08-02 10:30:00,0,True,1.0,0.0,Ropka,6,0.1875,3,3
7820002-1,2016-08-02 11:00:00,0,True,2.0,3.0,Ropka,6,0.1875,3,4
