Number_entering_buses,Stop_ID,Binned_time_x,y_pred,y_prob,Score,stop_lat,stop_lon,geometry,NIMI_left,Time,index_right,NIMI_right,NIMI
4,7801275-1,2025-12-11 16:00:00,0,0.12259507,0.49038028717041016,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,16:00:00,,,Raadi-Kruusamäe
4,7801275-1,2025-12-11 18:00:00,0,0.12068253,0.48273012042045593,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,18:00:00,,,Raadi-Kruusamäe
2,7801276-1,2025-12-11 06:00:00,0,0.120994404,0.24198880791664124,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,06:00:00,,,Raadi-Kruusamäe
4,7801276-1,2025-12-11 08:00:00,0,0.1269223,0.5076891779899597,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,08:00:00,,,Raadi-Kruusamäe
4,7801276-1,2025-12-11 10:00:00,0,0.12561439,0.5024575591087341,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,10:00:00,,,Raadi-Kruusamäe
4,7801276-1,2025-12-11 12:00:00,0,0.12090862,0.48363447189331055,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,12:00:00,,,Raadi-Kruusamäe
4,7801276-1,2025-12-11 14:00:00,0,0.12249777,0.48999106884002686,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,14:00:00,,,Raadi-Kruusamäe
4,7801276-1,2025-12-11 16:00:00,0,0.12259507,0.49038028717041016,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,16:00:00,,,Raadi-Kruusamäe
4,7801276-1,2025-12-11 18:00:00,0,0.12068253,0.48273012042045593,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,18:00:00,,,Raadi-Kruusamäe
4,7801276-1,2025-12-11 20:00:00,0,0.12074095,0.48296380043029785,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,20:00:00,,,Raadi-Kruusamäe
5,7801276-1,2025-12-11 22:00:00,0,0.120702036,0.6035101786255836,58.4035154,26.74158605,POINT (26.74158605 58.4035154),Raadi-Kruusamäe,22:00:00,,,Raadi-Kruusamäe
4,7820002-1,2025-12-11 06:00:00,0,0.121432565,0.48573026061058044,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,06:00:00,1.0,Ropka,
14,7820002-1,2025-12-11 08:00:00,0,0.12167944,1.7035121619701385,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,08:00:00,1.0,Ropka,
13,7820002-1,2025-12-11 10:00:00,0,0.12225349,1.5892954021692276,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,10:00:00,1.0,Ropka,
12,7820002-1,2025-12-11 12:00:00,0,0.12260941,1.4713128805160522,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,12:00:00,1.0,Ropka,
13,7820002-1,2025-12-11 14:00:00,0,0.12485026,1.6230533570051193,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,14:00:00,1.0,Ropka,
14,7820002-1,2025-12-11 16:00:00,0,0.12485026,1.7479036152362823,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,16:00:00,1.0,Ropka,
15,7820002-1,2025-12-11 18:00:00,0,0.12309984,1.846497617661953,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,18:00:00,1.0,Ropka,
10,7820002-1,2025-12-11 20:00:00,0,0.123035304,1.2303530424833298,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,20:00:00,1.0,Ropka,
6,7820002-1,2025-12-11 22:00:00,0,0.123035304,0.7382118254899979,58.35470082,26.72279026,POINT (26.72279026 58.35470082),Ropka,22:00:00,1.0,Ropka,
8,7820003-1,2025-12-11 06:00:00,0,0.121432565,0.9714605212211609,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,06:00:00,1.0,Ropka,
16,7820003-1,2025-12-11 08:00:00,0,0.12167944,1.946871042251587,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,08:00:00,1.0,Ropka,
11,7820003-1,2025-12-11 10:00:00,0,0.12225349,1.3447884172201157,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,10:00:00,1.0,Ropka,
12,7820003-1,2025-12-11 12:00:00,0,0.12260941,1.4713128805160522,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,12:00:00,1.0,Ropka,
12,7820003-1,2025-12-11 14:00:00,0,0.12485026,1.4982030987739563,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,14:00:00,1.0,Ropka,
16,7820003-1,2025-12-11 16:00:00,0,0.12485026,1.9976041316986084,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,16:00:00,1.0,Ropka,
13,7820003-1,2025-12-11 18:00:00,0,0.12309984,1.600297935307026,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,18:00:00,1.0,Ropka,
9,7820003-1,2025-12-11 20:00:00,0,0.123035304,1.1073177382349968,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,20:00:00,1.0,Ropka,
6,7820003-1,2025-12-11 22:00:00,0,0.123035304,0.7382118254899979,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,22:00:00,1.0,Ropka,
2,7820003-1,2025-12-12 00:00:00,0,0.123035304,0.24607060849666595,58.35484233,26.72295824,POINT (26.72295824 58.35484233),Ropka,00:00:00,1.0,Ropka,
16,7820004-1,2025-12-11 08:00:00,0,0.12115652,1.9385043382644653,58.39440348,26.7160297,POINT (26.7160297 58.39440348),Raadi-Kruusamäe,08:00:00,12.0,Raadi-Kruusamäe,
12,7820004-1,2025-12-11 12:00:00,0,0.12090862,1.4509034156799316,58.39440348,26.7160297,POINT (26.7160297 58.39440348),Raadi-Kruusamäe,12:00:00,12.0,Raadi-Kruusamäe,
12,7820004-1,2025-12-11 14:00:00,0,0.12249777,1.4699732065200806,58.39440348,26.7160297,POINT (26.7160297 58.39440348),Raadi-Kruusamäe,14:00:00,12.0,Raadi-Kruusamäe,
14,7820004-1,2025-12-11 16:00:00,0,0.12259507,1.7163310050964355,58.39440348,26.7160297,POINT (26.7160297 58.39440348),Raadi-Kruusamäe,16:00:00,12.0,Raadi-Kruusamäe,
15,7820004-1,2025-12-11 18:00:00,0,0.12068253,1.8102379515767097,58.39440348,26.7160297,POINT (26.7160297 58.39440348),Raadi-Kruusamäe,18:00:00,12.0,Raadi-Kruusamäe,
9,7820004-1,2025-12-11 20:00:00,0,0.12074095,1.0866685509681702,58.39440348,26.7160297,POINT (26.7160297 58.39440348),Raadi-Kruusamäe,20:00:00,12.0,Raadi-Kruusamäe,
1,7820007-1,2025-12-11 04:00:00,0,0.121349566,0.12134956568479538,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,04:00:00,3.0,Karlova,
18,7820007-1,2025-12-11 06:00:00,0,0.12121728,2.181911051273346,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,06:00:00,3.0,Karlova,
32,7820007-1,2025-12-11 08:00:00,0,0.12146379,3.886841297149658,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,08:00:00,3.0,Karlova,
35,7820007-1,2025-12-11 10:00:00,0,0.1214412,4.250442013144493,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,10:00:00,3.0,Karlova,
34,7820007-1,2025-12-11 12:00:00,0,0.12161607,4.13494648039341,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,12:00:00,3.0,Karlova,
33,7820007-1,2025-12-11 14:00:00,0,0.124567285,4.110720410943031,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,14:00:00,3.0,Karlova,
33,7820007-1,2025-12-11 16:00:00,0,0.124567285,4.110720410943031,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,16:00:00,3.0,Karlova,
31,7820007-1,2025-12-11 18:00:00,0,0.12120094,3.7572291865944862,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,18:00:00,3.0,Karlova,
31,7820007-1,2025-12-11 20:00:00,0,0.12113726,3.755255103111267,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,20:00:00,3.0,Karlova,
22,7820007-1,2025-12-11 22:00:00,0,0.12113726,2.6650197505950928,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,22:00:00,3.0,Karlova,
6,7820007-1,2025-12-12 00:00:00,0,0.12113726,0.7268235683441162,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova,00:00:00,3.0,Karlova,
7,7820008-1,2025-12-11 06:00:00,0,0.121432565,0.8500279560685158,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,06:00:00,1.0,Ropka,
16,7820008-1,2025-12-11 08:00:00,0,0.12167944,1.946871042251587,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,08:00:00,1.0,Ropka,
11,7820008-1,2025-12-11 10:00:00,0,0.12225349,1.3447884172201157,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,10:00:00,1.0,Ropka,
12,7820008-1,2025-12-11 12:00:00,1,0.1283481,1.5401771664619446,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,12:00:00,1.0,Ropka,
12,7820008-1,2025-12-11 14:00:00,1,0.1385352,1.6624224185943604,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,14:00:00,1.0,Ropka,
15,7820008-1,2025-12-11 16:00:00,1,0.13760233,2.064034938812256,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,16:00:00,1.0,Ropka,
13,7820008-1,2025-12-11 18:00:00,0,0.12383945,1.6099128872156143,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,18:00:00,1.0,Ropka,
9,7820008-1,2025-12-11 20:00:00,0,0.123035304,1.1073177382349968,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,20:00:00,1.0,Ropka,
6,7820008-1,2025-12-11 22:00:00,0,0.123035304,0.7382118254899979,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,22:00:00,1.0,Ropka,
2,7820008-1,2025-12-12 00:00:00,0,0.123035304,0.24607060849666595,58.34784648,26.71726794,POINT (26.71726794 58.34784648),Ropka,00:00:00,1.0,Ropka,
13,7820009-1,2025-12-11 08:00:00,0,0.12167944,1.5818327218294144,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka,08:00:00,1.0,Ropka,
13,7820009-1,2025-12-11 10:00:00,0,0.12225349,1.5892954021692276,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka,10:00:00,1.0,Ropka,
12,7820009-1,2025-12-11 12:00:00,0,0.12260941,1.4713128805160522,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka,12:00:00,1.0,Ropka,
12,7820009-1,2025-12-11 14:00:00,0,0.12485026,1.4982030987739563,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka,14:00:00,1.0,Ropka,
13,7820009-1,2025-12-11 16:00:00,0,0.12485026,1.6230533570051193,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka,16:00:00,1.0,Ropka,
16,7820009-1,2025-12-11 18:00:00,0,0.12309984,1.9695974588394165,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka,18:00:00,1.0,Ropka,
