Stop_ID,stop_lat,stop_lon,geometry,NIMI
7820322-1,58.34280788,26.73818363,POINT (26.73818363 58.34280788),Ropka tööstuse
7820189-1,58.38451818,26.74302861,POINT (26.74302861 58.38451818),Raadi-Kruusamäe
7820198-1,58.37863342,26.77050604,POINT (26.77050604 58.37863342),Annelinna
7820333-1,58.36172417,26.77141202,POINT (26.77141202 58.36172417),Annelinna
7820323-1,58.34306723,26.72953189,POINT (26.72953189 58.34306723),Ropka tööstuse
7820317-1,58.34525094,26.71488112,POINT (26.71488112 58.34525094),Ropka tööstuse
7820131-1,58.37675423,26.69035434,POINT (26.69035434 58.37675423),Veeriku
7820284-1,58.37241821,26.7000216,POINT (26.7000216 58.37241821),Maarjamõisa
7820073-1,58.35002284,26.72320515,POINT (26.72320515 58.35002284),Ropka
7820009-1,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka
7820316-1,58.34537778,26.71461775,POINT (26.71461775 58.34537778),Ropka
7820272-1,58.38203996,26.68567925,POINT (26.68567925 58.38203996),Veeriku
7820004-1,58.39440348,26.7160297,POINT (26.7160297 58.39440348),Raadi-Kruusamäe
7820079-1,58.36479389,26.72116859,POINT (26.72116859 58.36479389),Vaksali
7820065-1,58.35917116,26.72136773,POINT (26.72136773 58.35917116),Ropka
7820294-1,58.40433139,26.708449,POINT (26.708449 58.40433139),Kvissentali
7820116-1,58.40651781,26.69657824,POINT (26.69657824 58.40651781),Kvissentali
7820180-1,58.38996052,26.72743991,POINT (26.72743991 58.38996052),Ülejõe
7820324-1,58.34275898,26.73020083,POINT (26.73020083 58.34275898),Ropka tööstuse
7820331-1,58.35470981,26.76270419,POINT (26.76270419 58.35470981),Ihaste
7820025-1,58.38357822,26.69159083,POINT (26.69159083 58.38357822),Tähtvere
7820179-1,58.3899214,26.7278263,POINT (26.7278263 58.3899214),Raadi-Kruusamäe
7820224-1,58.3920868,26.72167493,POINT (26.72167493 58.3920868),Raadi-Kruusamäe
7820283-1,58.3731642,26.69975523,POINT (26.69975523 58.3731642),Tammelinna
7820273-1,58.38183188,26.68539271,POINT (26.68539271 58.38183188),Veeriku
7820075-1,58.38659375,26.73719894,POINT (26.73719894 58.38659375),Raadi-Kruusamäe
