Stop_ID,Pre_2019,density,NIMI
7820131-1,True,1,Veeriku
7820169-1,True,2,Veeriku
7820284-1,True,3,Maarjamõisa
7820211-1,True,1,Veeriku
7820163-1,True,1,Maarjamõisa
7820115-1,True,7,Karlova
7820264-1,True,1,Tammelinna
7820105-1,True,2,Tähtvere
7820046-1,True,1,Tähtvere
7820230-1,True,1,Ropka
7820204-1,True,5,Tammelinna
7820280-1,True,2,Karlova
7820214-1,True,4,Karlova
7820268-1,True,3,Karlova
7820231-1,True,2,Karlova
7820196-1,True,5,Kesklinna
7820176-1,True,6,Kesklinna
7820197-1,True,6,Kesklinna
7820121-1,True,3,Kesklinna
7820074-1,True,1,Karlova
7820023-1,True,1,Ropka
7820175-1,True,5,Kesklinna
7820279-1,True,2,Karlova
7820181-1,True,6,Raadi-Kruusamäe
7820153-1,True,0,Raadi-Kruusamäe
7820192-1,True,3,Raadi-Kruusamäe
7820223-1,True,2,Ülejõe
7820209-1,True,2,Veeriku
7820117-1,True,1,Kvissentali
7820038-1,True,2,Maarjamõisa
7820090-1,True,2,Raadi-Kruusamäe
7820019-1,True,1,Maarjamõisa
7820304-1,True,3,Veeriku
7820058-1,True,2,Raadi-Kruusamäe
7820232-1,True,3,Kvissentali
7820180-1,True,5,Ülejõe
7820303-1,True,4,Veeriku
7820110-1,True,2,Raadi-Kruusamäe
7820116-1,True,0,Kvissentali
7820172-1,True,1,Ränilinna
7820184-1,True,3,Veeriku
7820273-1,True,3,Veeriku
7820096-1,True,3,Supilinna
7820190-1,True,2,Karlova
7820077-1,True,0,Karlova
7820314-1,True,1,Ropka tööstuse
7820253-1,True,5,Karlova
7820073-1,True,1,Ropka
7820323-1,True,1,Ropka tööstuse
7820129-1,True,0,Karlova
7820016-1,True,2,Annelinna
7820050-1,True,1,Ihaste
7820053-1,True,1,Annelinna
7820185-1,True,1,Supilinna
7820298-1,True,1,Ropka tööstuse
7820235-1,True,1,Ropka tööstuse
7800528-1,True,0,Ihaste
7820297-1,True,1,Ropka tööstuse
7820236-1,True,1,Ropka tööstuse
7820206-1,True,5,Tammelinna
7820127-1,True,2,Tammelinna
7820282-1,True,1,Tammelinna
7820188-1,True,7,Tammelinna
7820119-1,True,1,Tammelinna
7820239-1,True,4,Karlova
7820098-1,True,4,Variku
7820225-1,True,1,Variku
7820229-2,True,4,Variku
7820099-1,True,3,Variku
7820167-1,True,1,Vaksali
7820017-1,True,2,Annelinna
7820150-1,True,2,Raadi-Kruusamäe
7820283-1,True,3,Tammelinna
7820294-1,True,1,Kvissentali
7820018-1,True,1,Veeriku
7820210-1,True,3,Veeriku
7820070-1,True,3,Veeriku
7820272-1,True,3,Veeriku
7820321-1,True,1,Ropka tööstuse
7820083-1,True,2,Tammelinna
7820100-1,True,5,Variku
7820102-1,True,5,Variku
7820215-1,True,3,Karlova
7820259-1,True,1,Tähtvere
7820042-1,True,3,Tähtvere
7820107-1,True,5,Supilinna
7820313-1,True,1,Tähtvere
7820287-1,True,3,Tähtvere
7820318-1,True,3,Ropka tööstuse
7820009-1,True,1,Ropka
7820276-1,True,5,Ränilinna
7820233-1,True,3,Raadi-Kruusamäe
7820199-1,True,2,Annelinna
7820120-1,True,2,Vaksali
7820216-1,True,2,Vaksali
7820082-1,True,0,Veeriku
7820269-1,True,3,Veeriku
7820286-1,True,1,Karlova
7820322-1,True,1,Ropka tööstuse
7820052-1,True,1,Annelinna
7820055-1,True,1,Annelinna
7820041-1,True,2,Supilinna
7820125-1,True,1,Tähtvere
7820145-1,True,3,Ülejõe
7820144-1,True,5,Tähtvere
7820306-1,True,0,Ihaste
7820045-1,True,5,Tähtvere
7820025-1,True,3,Tähtvere
7820135-1,True,3,Annelinna
7801230-1,True,1,Raadi-Kruusamäe
7800566-1,True,2,Raadi-Kruusamäe
7820329-1,True,2,Ülejõe
7820328-1,True,2,Ülejõe
7820270-1,True,3,Veeriku
7820106-1,True,1,Tähtvere
7820327-1,True,1,Maarjamõisa
7820326-1,True,1,Maarjamõisa
7820035-2,True,4,Ränilinna
7820162-1,True,5,Raadi-Kruusamäe
7820054-1,True,1,Annelinna
7820274-1,True,2,Tähtvere
7820258-2,True,2,Tähtvere
7820109-1,True,1,Raadi-Kruusamäe
7820166-1,True,1,Annelinna
7800565-1,True,3,Raadi-Kruusamäe
7820331-1,True,3,Ihaste
7820171-1,True,1,Ränilinna
7820333-1,True,0,Annelinna
7820332-1,True,0,Annelinna
7820142-1,True,3,Maarjamõisa
7820044-1,True,3,Tähtvere
7820026-1,True,3,Tähtvere
7820330-1,True,1,Ihaste
7820143-1,True,6,Maarjamõisa
7820249-2,True,15,Kesklinna
7801272-1,True,0,Ihaste
7820139-2,True,2,Ränilinna
7820320-1,True,2,Ropka tööstuse
7820289-2,True,7,Kesklinna
