Stop_ID,Pre_2019
7820188-1,False
7820326-1,False
7820343-1,False
7820304-1,False
7820123-1,False
7800070-1,False
7820051-1,False
7820019-1,False
7820122-1,False
7820303-1,False
7820018-1,False
7820142-1,False
7820143-1,False
7820210-1,False
7820344-1,False
7820160-1,False
7820159-1,False
7820227-1,False
7820016-1,False
7820087-1,False
7820248-1,False
7820293-1,False
7820196-1,False
7820352-1,False
7820176-1,False
7820086-1,False
7801272-1,False
7820289-1,False
7820311-1,False
7820175-1,False
7820269-1,False
7820347-1,False
7820249-1,False
7820166-1,False
7800528-1,False
7820107-1,False
7820362-1,False
7820287-1,False
7820360-1,False
7820306-1,False
7820199-1,False
7820288-1,False
7820270-1,False
7820197-1,False
7820082-1,False
7800420-1,False
7820017-1,False
7801271-1,False
7820348-1,False
7820041-1,False
7820361-1,False
7820350-1,False
7820310-1,False
7820328-1,False
7820071-1,False
7820069-1,False
7820211-1,False
7820212-1,False
7820195-1,False
7820056-1,False
7820163-1,False
7820329-1,False
7820172-1,False
7820281-1,False
7820139-2,False
7820305-1,False
7820252-1,False
7820022-1,False
7820096-1,False
7820296-1,False
7820254-1,False
7820011-1,False
7820241-1,False
7820043-1,False
7820207-1,False
7820313-1,False
7820275-1,False
7820113-1,False
7820010-1,False
7820240-1,False
7820182-1,False
7820258-1,False
7820260-1,False
7820168-1,False
7820183-1,False
7820114-1,False
7820259-1,False
7820167-1,False
7820084-1,False
7820039-1,False
7820093-1,False
7820191-1,False
7820134-1,False
7820192-1,False
7820133-1,False
7820110-1,False
7820301-1,False
7820369-1,False
7820302-1,False
7820365-1,False
7820351-1,False
7820368-1,False
7820366-1,False
7820202-1,False
7820115-1,False
7820231-1,False
7820228-1,False
7820280-1,False
7820105-1,False
7820046-1,False
7820279-1,False
7820230-1,False
7820023-1,False
7820121-1,False
7820239-1,False
7820263-1,False
7820341-1,False
7820032-1,False
7820033-1,False
7820074-1,False
7820341-2,False
7820144-1,False
7820047-1,False
7820274-1,False
7820267-1,False
7820335-1,False
7801276-1,False
7820214-1,False
7820286-1,False
7820297-1,False
7801230-1,False
7820268-1,False
7820236-1,False
7820334-1,False
7820337-1,False
7820336-1,False
7820215-1,False
7820235-1,False
7820298-1,False
7820285-1,False
7800566-1,False
7801275-1,False
7820358-1,False
7820349-1,False
7820173-1,False
7820226-1,False
7820229-1,False
7820147-1,False
7820098-1,False
7820119-1,False
7820359-1,False
7820206-1,False
7820282-1,False
7820181-1,False
7820153-1,False
7820203-1,False
7820127-1,False
7820100-1,False
7820090-1,False
7820058-1,False
7820357-1,False
7820149-1,False
7820108-1,False
7820193-1,False
7820077-1,False
7820129-1,False
7820249-3,False
7820291-1,False
7820346-1,False
7820190-1,False
7820345-1,False
7820150-1,False
7820109-1,False
7820354-1,False
7820194-1,False
7820207-2,False
144382,False
144384,False
7820244-1,False
7820044-1,False
7820332-1,False
7820208-2,False
7820053-1,False
7820171-1,False
7820356-1,False
7820209-1,False
7820185-1,False
7800419-1,False
7820258-2,False
7820367-1,False
7820364-1,False
7820102-1,False
7820353-1,False
7820125-1,False
7800529-1,False
7820042-1,False
7820026-1,False
7820363-1,False
7820052-1,False
7820355-1,False
7800565-1,False
7820135-1,False
7820106-1,False
7820289-2,False
7820320-1,False
7820050-1,False
7820035-2,False
7820253-1,False
7800431-1,False
7820054-1,False
7820370-1,False
7820340-1,False
7801229-1,False
7820249-2,False
7820229-2,False
7820037-1,False
7820099-1,False
7820225-1,False
7820148-1,False
7820176-2,False
7820374-1,False
7820372-1,False
7820371-1,False
7820373-1,False
7820208-3,False
7801359-1,False
7801350-1,False
7801348-1,False
7801351-1,False
7801360-1,False
7801349-1,False
7820375-1,False
7820377-1,False
7820376-1,False
7801031-1,False
7801395-1,False
7801391-1,False
7801388-1,False
7801389-1,False
7801393-1,False
7801387-1,False
7801394-1,False
7801390-1,False
7801392-1,False
7801031-2,False
7820378-1,False
7820381-1,False
7820380-1,False
7820379-1,False
7801386-1,False
7801161-1,False
7800587-1,False
7800588-1,False
7801161-2,False
7801402-1,False
7801401-1,False
7801169-1,False
7800362-1,False
7800991-1,False
7801055-1,False
7800364-1,False
7801054-1,False
7800363-1,False
7801361-1,False
7801409-1,False
7820383-1,False
7820382-1,False
7820145-1,False
7820386-1,False
7801132-1,False
7800952-1,False
7800388-1,False
7800984-1,False
7800376-1,False
7801134-1,False
7800389-1,False
7800922-1,False
7800209-1,False
7800803-1,False
7800383-1,False
7800550-1,False
7800297-1,False
7801131-1,False
7800262-1,False
7800377-1,False
7801043-1,False
7800133-1,False
7800891-1,False
7801133-1,False
7800551-1,False
7820116-2,False
7800991-2,False
7820393-1,False
7820392-1,False
7820389-1,False
7800431-2,False
7820088-2,False
7820387-1,False
7820395-1,False
7820394-1,False
7820391-1,False
7820390-1,False
7800953-1,False
7820396-1,False
