Stop_ID,Pre_2019,Visiting_score,Rel_Visiting_score
144360,True,1,0.03125
144382,False,1,0.047619047619047616
144384,False,1,0.047619047619047616
144466,True,1,0.03125
7800070-1,False,1,0.047619047619047616
7800133-1,False,1,0.047619047619047616
7800209-1,False,1,0.047619047619047616
7800262-1,False,1,0.047619047619047616
7800297-1,False,1,0.047619047619047616
7800362-1,False,1,0.047619047619047616
7800363-1,False,1,0.047619047619047616
7800364-1,False,1,0.047619047619047616
7800376-1,False,1,0.047619047619047616
7800377-1,False,1,0.047619047619047616
7800383-1,False,1,0.047619047619047616
7800388-1,False,2,0.09523809523809523
7800389-1,False,2,0.09523809523809523
7800419-1,False,1,0.047619047619047616
7800420-1,False,1,0.047619047619047616
7800420-1,True,1,0.03125
7800431-1,False,1,0.047619047619047616
7800431-1,True,1,0.03125
7800431-2,False,1,0.047619047619047616
7800528-1,False,1,0.047619047619047616
7800528-1,True,1,0.03125
7800529-1,False,1,0.047619047619047616
7800550-1,False,2,0.09523809523809523
7800551-1,False,2,0.09523809523809523
7800565-1,False,1,0.047619047619047616
7800565-1,True,1,0.03125
7800566-1,False,1,0.047619047619047616
7800566-1,True,2,0.0625
7800587-1,False,1,0.047619047619047616
7800588-1,False,1,0.047619047619047616
7800803-1,False,1,0.047619047619047616
7800891-1,False,1,0.047619047619047616
7800922-1,False,1,0.047619047619047616
7800952-1,False,2,0.09523809523809523
7800953-1,False,1,0.047619047619047616
7800984-1,False,1,0.047619047619047616
7800991-1,False,1,0.047619047619047616
7800991-2,False,1,0.047619047619047616
7801031-1,False,1,0.047619047619047616
7801031-2,False,1,0.047619047619047616
7801043-1,False,1,0.047619047619047616
7801054-1,False,1,0.047619047619047616
7801055-1,False,1,0.047619047619047616
7801131-1,False,2,0.09523809523809523
7801132-1,False,2,0.09523809523809523
7801133-1,False,1,0.047619047619047616
7801134-1,False,2,0.09523809523809523
7801161-1,False,1,0.047619047619047616
7801161-2,False,1,0.047619047619047616
7801169-1,False,1,0.047619047619047616
7801229-1,False,1,0.047619047619047616
7801229-1,True,1,0.03125
7801230-1,False,1,0.047619047619047616
7801230-1,True,2,0.0625
7801271-1,False,1,0.047619047619047616
7801272-1,False,1,0.047619047619047616
7801272-1,True,1,0.03125
7801275-1,False,1,0.047619047619047616
7801275-1,True,1,0.03125
7801276-1,False,1,0.047619047619047616
7801276-1,True,2,0.0625
7801348-1,False,1,0.047619047619047616
7801349-1,False,1,0.047619047619047616
7801350-1,False,1,0.047619047619047616
7801351-1,False,1,0.047619047619047616
7801359-1,False,1,0.047619047619047616
7801360-1,False,1,0.047619047619047616
7801361-1,False,1,0.047619047619047616
7801386-1,False,1,0.047619047619047616
7801387-1,False,1,0.047619047619047616
7801388-1,False,1,0.047619047619047616
7801389-1,False,1,0.047619047619047616
7801390-1,False,1,0.047619047619047616
7801391-1,False,1,0.047619047619047616
7801392-1,False,1,0.047619047619047616
7801393-1,False,1,0.047619047619047616
7801394-1,False,1,0.047619047619047616
7801395-1,False,1,0.047619047619047616
7801401-1,False,1,0.047619047619047616
7801402-1,False,1,0.047619047619047616
