route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
106372a735c56551a7e8efeaab7d596b,67750,912029,Valga bussijaam,Otepää - Puka - Keeni - Valga,A>C1>B,42699,0
7ecae8eb3ef9732c32964e008ff81922,129141,1885851,Laaksaare sadam,Piirissaare - Laaksaare,B>A,13505,0
7ecae8eb3ef9732c32964e008ff81922,257956,1886730,Laaksaare sadam,Piirissaare - Laaksaare,B>A,13505,0
7ecae8eb3ef9732c32964e008ff81922,129141,1885852,Piirissaare sadam,Laaksaare - Piirissaare,A>B,13504,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,110808,703544,Haeska,Haapsalu - Haeska NÕUDELIIN,A>B,50524,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,110808,703545,Haapsalu bussijaam,Haeska - Haapsalu NÕUDELIIN,B>A,50525,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,111206,703603,Haeska,Haapsalu - Haeska NÕUDELIIN,A>B,50524,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,111205,703602,Haapsalu bussijaam,Haeska - Haapsalu NÕUDELIIN,B>A,50525,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,111209,703605,Haeska,Haapsalu - Haeska NÕUDELIIN,A>B,50524,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,111210,703606,Haeska,Haapsalu - Haeska NÕUDELIIN,A>B,50524,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,111208,703604,Haapsalu bussijaam,Haeska - Haapsalu NÕUDELIIN,B>A,50525,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,111210,703607,Haapsalu bussijaam,Haeska - Haapsalu NÕUDELIIN,B>A,50525,0
84b3c9b8e65d665beedefd8496f88e45,111222,703608,Suure-Lähtru,Palivere - Suure-Lähtru NÕUDELIIN,A>B,33782,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,112216,703662,Haapsalu bussijaam,Haeska - Haapsalu NÕUDELIIN,B>A,50525,0
7d3bdb5c7d48e439f0732b8a35a3d8d3,112217,703663,Haeska,Haapsalu - Haeska NÕUDELIIN,A>B,50524,0
001fbbfb91377d12319307681cd64442,117420,1583666,Valga bussijaam,Antsla-Lüllemäe-Vähero-Valga,B>C2>A,47147,0
01bd8232652272539e635dd42be6ace5,124921,1931401,Otepää,Otepää - Pühajärve - Vidrike - Kääriku - Arula - Otepää,A1>C>A,59251,0
35935ddd0540e942f027485504897704,130156,905192,Haapsalu bussijaam,Virtsu - Lihula - Haapsalu,B>A,34383,0
35935ddd0540e942f027485504897704,130156,905194,Haapsalu bussijaam,Virtsu - Lihula - Haapsalu,B>A,34383,0
35935ddd0540e942f027485504897704,130157,905195,Haapsalu bussijaam,Virtsu - Lihula - Haapsalu,B>A,34383,0
35935ddd0540e942f027485504897704,130156,905191,Virtsu sadam,Haapsalu - Lihula - Virtsu,A>B,34382,0
35935ddd0540e942f027485504897704,130156,905193,Virtsu sadam,Haapsalu - Lihula - Virtsu,A>B,34382,0
5f3496c56f83b5fc3e65ee14ff38687c,130176,2095431,Virtsu sadam,Risti - Kullamaa kool - Lihula - Virtsu,B>A,36375,0
5f3496c56f83b5fc3e65ee14ff38687c,130176,2095430,Risti,Virtsu - Lihula - Kullamaa kool - Risti,A>B,,0
5f3496c56f83b5fc3e65ee14ff38687c,130176,2095432,Lihula,Virtsu - Lihula,A>B1,,0
d434a6d538089ee39015cf31e5d1c1fb,130642,841980,Pärnu bussijaam,Haapsalu - Vana-Vigala - Pärnu,A>B,36346,0
d434a6d538089ee39015cf31e5d1c1fb,130642,841981,Haapsalu bussijaam,Pärnu - Vana-Vigala - Haapsalu,B>A,36347,0
d434a6d538089ee39015cf31e5d1c1fb,130643,841983,Haapsalu bussijaam,Pärnu - Vana-Vigala - Haapsalu,B>A,36347,0
d434a6d538089ee39015cf31e5d1c1fb,130643,841982,Pärnu bussijaam,Haapsalu - Vana-Vigala - Pärnu,A>B,36346,0
d434a6d538089ee39015cf31e5d1c1fb,130644,841985,Haapsalu bussijaam,Pärnu - Vana-Vigala - Haapsalu,B>A,36347,0
d434a6d538089ee39015cf31e5d1c1fb,130644,841984,Pärnu bussijaam,Haapsalu - Vana-Vigala - Pärnu,A>B,36346,0
d6c424d856a175e408d3142f86e7df34,131377,1470038,Abruka sadam,ROOMASSAARE-ABRUKA,A>B,63333,0
d6c424d856a175e408d3142f86e7df34,131379,1470039,Abruka sadam,ROOMASSAARE-ABRUKA,A>B,63333,0
d6c424d856a175e408d3142f86e7df34,131380,1470040,Abruka sadam,ROOMASSAARE-ABRUKA,A>B,63333,0
d6c424d856a175e408d3142f86e7df34,131381,1470041,Abruka sadam,ROOMASSAARE-ABRUKA,A>B,63333,0
fb6b29d848d55ce0d94e568d2e2e9d01,131382,1470042,Roomassaare sadam,ABRUKA-ROOMASSAARE,A>B,63330,0
fb6b29d848d55ce0d94e568d2e2e9d01,131383,1470043,Roomassaare sadam,ABRUKA-ROOMASSAARE,A>B,63330,0
fb6b29d848d55ce0d94e568d2e2e9d01,131385,1470044,Roomassaare sadam,ABRUKA-ROOMASSAARE,A>B,63330,0
fb6b29d848d55ce0d94e568d2e2e9d01,131386,1470045,Roomassaare sadam,ABRUKA-ROOMASSAARE,A>B,63330,0
621bb52a1a1d8a85f298da77749f94fb,132861,1320412,Priipalu,Priipalu-Tsirguliina kool-Sooru-Priipalu,A>A,57727,0
ae3bfc3671631bc6e2c62d93dd32aa07,132870,1320413,Priipalu,Piiripalu - Liive - Tsirguliina kool - Sooru - Piiripalu,A>B>A,57728,0
6612310ee8fb071df05a2d23940468c0,133115,2004245,Valga bussijaam,Otepää-Restu-Keeni-Sangaste-Valga,A>B,59217,0
1200bd6443513ac5057e3be158483d75,133241,1352664,Tõrva,Otepää-Sangaste-Tõrva,A>B,58605,0
3caada814328f0f6c84615882797feae,133348,2067778,Tõrva,Riidaja-Reti-Lõve-Leebiku-Rulli-Tõrva,A>C1>B,57909,0
535c054371807b4c9f71a420a3deb8bf,133749,1256961,Antsla,Valga - Vilaski - Antsla,A>B,55213,0
0664e671b96a6d98856302f1231442e4,133784,1028455,Antsla,Valga bussijaam - Lüllemäe -Antsla,A>C1>B,47120,0
0664e671b96a6d98856302f1231442e4,133784,1028456,Valga bussijaam,Antsla - Lüllemäe - Valga bussijaam,B>C1>A,47121,0
b15feeb6d3e39636279bea7febe2524d,133818,1028457,Antsla,Valga - Lüllemäe - Antsla,A>B,47135,0
a88f0ff3e05fa916779c0ab3602fe9d2,133827,1028564,Valga bussijaam,Antsla -Lüllemäe- Valga bussijaam,A>B,47146,0
d8fa8e33f2837214ff239d7b5377bd96,133903,1942380,Valga bussijaam,Tõrva - Taagepera - Valga bussijaam,A>C1>B,46261,0
53a20efd975934c55dc9bf4010878b72,133926,1942381,Tõrva,Valga - Taagepera - Tõrva,A>C1>B,58507,0
9c0a3002a78cd998a807106d7f0f80a0,133931,1942382,Tõrva,Valga - Jõgeveste - Taagepera - Tõrva,A>C2>B,47492,0
3481dacd4e8cae480b36ab1ec649919b,133933,1942383,Tõrva,Valga - Taagepera - Tõrva,A>B,46265,0
31f640ee6352d190c58298f294fc7342,133943,2043401,Valga bussijaam,Tõrva - Valga,A>B,40943,0
884e152ad036c38d1c2fa799173f76f2,133953,2043402,Valga bussijaam,Tõrva - Valga,A>B,40944,0
2dc78261bac8da562357c16bb145608d,133961,1014227,Tõrva,Valga - Ala - Tõrva,A>C1>B,46266,0
625d5c21c52cc54613fb583a48676dac,134052,2005357,Valga bussijaam,Valga - Keeni - Priipalu - Uniküla - Valga,A>C1>B,44428,0
a2be37f890bafc151123aeed17b354b0,134055,2005358,Valga bussijaam,Valga - Keeni - Priipalu - Uniküla - Valga,A>C1>A,44430,0
652cad01c453242e23143f8c3c02ed72,134057,1878946,Valga bussijaam,Puka - Valga,A1>A,52274,0
0aa7b403db102346862662ec1d72dc25,134300,2005359,Puka,Valga - Sangaste - Puka,A>B,55335,0
8be01b5bb986287fc57f3c6276b42a17,134335,1197466,Valga bussijaam,Valga - Keeni - Valga,A>C>B,52281,0
f597be47bc8a1c0b6e9e115e0e08d609,134423,884442,Valga bussijaam,Valga - Keeni - Sangaste - Vilaski - Valga,A>C>B,40972,0
039d2645fa4371b72fc3fa27b4a96b0b,134460,1031844,Tõrva,Valga - Jõgeveste - Ruusa - Tõrva,A>C1>B,47491,0
e4673448c3fb76a3ab6ffd3c830946f5,134489,1578699,Valga bussijaam,Valga-Lüllemäe-Valtina-Vähero-Valga,A>A,47132,0
1d51cb045971c3a3926ff44fdf4b6fca,134634,1348020,Tõrva,Tõrva  - Riidaja - Pikasilla - Tõrva,A>B>A,58512,0
d0d67fee317901da04324833ac9e2200,134677,1015323,Tõrva,Tõrva  - Riidaja - Pikasilla - Tõrva,A>A,46297,0
143aeb29056eb0a7eab673870bc6a804,134691,1015324,Tõrva,Tõrva - Riidaja - Reti - Pikasilla - Tõrva,A>C2>A,46299,0
143aeb29056eb0a7eab673870bc6a804,134695,1015325,Tõrva,Tõrva - Pokardi - Tõrva - Riidaja - Reti - Pikasilla - Tõrva,A>C2>A,46298,0
bd51c89155629e7b1c98273b0ca3dcbf,134706,1700612,Otepää,Valga - Sangaste - Sarapuu - Sihva - Otepää,A>C>B,55332,0
117ab60700a8b3e0ec9639eaeed113f8,134728,1197467,Valga bussijaam,Otepää - Palu - Sangaste - Sarapuu - Valga,B>C2>A,52278,0
117ab60700a8b3e0ec9639eaeed113f8,134760,1261744,Valga bussijaam,Otepää - Sangaste - Sarapuu - Sangaste - Valga,B>C3>A,55324,0
54c712afdc9d98335dbec85ee67fc42c,134771,1261745,Otepää,Valga - Sangaste - Pühajärve - Otepää,A>C1>B,55331,0
f0cdfdc484f5119137952bba0575b933,135189,1197468,Valga bussijaam,Otepää - Sihva - Sangaste - Valga,A>B,52276,0
2d1c209b1a53fa63d918f1b371114f88,135303,1263092,Otepää,Valga - Sangaste - Vidrike - Otepää,A>B,55358,0
b81996a9d243a62f4e29c38629271a59,135333,1261747,Otepää,Valga - Sangaste - Keeni - Vidrike - Otepää,A>C2>B,55325,0
b81996a9d243a62f4e29c38629271a59,135333,1261748,Valga bussijaam,Otepää - Vidrike - Sangaste - Valga,B>A,55326,0
38b65cf8c9881ec05133e79c1612574f,135531,1261749,Otepää,Valga - Sangaste - Vidrike - Otepää,A>B,55330,0
661222d5eb9a1287b9613236729eee4f,135547,1324557,Valga bussijaam,Otepää - Vidrike - Sangaste - Valga,B>C2>A,57699,0
505a5617218d9d8d30f7a6635ad62b64,135568,2004246,Otepää,Valga-Sangaste-Pühajärve-Otepää,B>A,55334,0
